,Unnamed: 0,Symbol,Company Name,Sector,Number of Sticks Sold,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
0,0,WMT,Walmart Inc.,Retail Trade,12134,100.02,23.1,1.983471,4.39,109.98,66.89,305000000000.0,30721000000.0,0.82099426,3.89,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WMT
1,1,AMZN,"Amazon.com, Inc.",Retail Trade,18763,1350.5,296.16,0.0,6.16,1498.0,812.5,686000000000.0,16132000000.0,3.927053,24.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMZN
2,2,ACN,Accenture plc,Technology Services,42406,150.51,25.47,1.7144699,5.44,162.6,114.82,98765855553.0,5643228000.0,2.604117,10.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN
3,3,UPS,"United Parcel Service, Inc.",Transportation,46828,109.28,18.27,2.9666696,5.62,135.53,102.12,96436356833.0,7919000000.0,1.4744618,64.7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UPS
4,4,HD,"Home Depot, Inc. (The)",Retail Trade,18702,181.22,28.1,1.8610487,6.46,207.605,136.82,223000000000.0,16513000000.0,2.8964398,84.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HD
5,5,KR,Kroger Company (The),Retail Trade,19377,27.57,13.07,1.7301039,2.05,34.75,19.69,25471355847.0,5342000000.0,0.27961263,4.02,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KR
6,6,TGT,Target Corporation,Retail Trade,8709,71.11,14.19,3.3856654,4.71,78.7,48.56,39816696539.0,7105000000.0,0.8047394,3.45,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TGT
7,7,SBUX,Starbucks Corporation,Consumer Services,40341,53.77,25.98,2.203452,1.97,64.87,52.58,76548976000.0,7361500000.0,3.4392443,13.36,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SBUX
8,8,IBM,International Business Machines Corporation,Technology Services,12219,147.59,10.67,3.8999026,6.11,182.79,139.13,142000000000.0,16557000000.0,1.817167,7.7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IBM
9,9,BRK.B,Berkshire Hathaway Inc. New,Finance,48427,191.42,30.43,0.0,9.76,217.62,160.93,261000000000.0,0.0,1.4328232,1.58,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BRK.B
10,10,LOW,"Lowe’s Companies, Inc.",Retail Trade,29363,95.01,23.87,1.6413131,3.46,108.98,70.76,82909678852.0,7858000000.0,1.5653384,14.1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LOW
11,11,UNH,UnitedHealth Group Incorporated,Health Services,12988,216.46,21.47,1.3284917,10.71,250.79,156.49,219000000000.0,17454000000.0,1.0903316,4.71,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UNH
12,12,TJX,"TJX Companies, Inc. (The)",Retail Trade,43786,74.36,21.01,1.64042,3.46,81.46,66.44,48181450881.0,4600216000.0,1.9293598,10.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TJX
13,13,WBA,"Walgreens Boots Alliance, Inc.",Retail Trade,2494,68.22,13.38,2.2368238,3.78,88.0,63.82,70862541911.0,7083000000.0,0.5904388,3.06,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WBA
14,14,CVS,CVS Health Corporation,Retail Trade,15648,70.55,12.36,2.6899798,4.91,84.0,66.45,75323141722.0,11704000000.0,0.549852,2.13,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVS
15,15,PEP,"PepsiCo, Inc.",Consumer Non-Durables,11197,110.15,21.51,2.8370044,4.36,122.51,104.77,161000000000.0,12843000000.0,3.6705062,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PEP
16,16,CTSH,Cognizant Technology Solutions Corporation,Technology Services,19157,75.16,22.44,1.0454783,2.54,79.28,54.76,45119684067.0,2946000000.0,3.9678397,3.94,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTSH
17,17,FDX,FedEx Corporation,Transportation,19208,239.27,19.45,0.7963368,11.07,274.66,182.89,67280478816.0,8062000000.0,1.0751684,3.9,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FDX
18,18,COST,Costco Wholesale Corporation,Retail Trade,41865,178.61,30.69,1.0917627,6.09,199.88,150.0,80439804508.0,5679000000.0,0.61203885,7.24,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COST
