,Unnamed: 0.1,Unnamed: 0,Symbol,Company Name,Sector,Budget Stick Sales,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
7,61,61,CAT,"Caterpillar, Inc.",Producer Manufacturing,999512,145.99,21.22,2.0215108,1.26,173.24,90.34,91822049046.0,8136000000.0,2.0468428,5.75,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAT
135,203,203,JBHT,"J.B. Hunt Transport Services, Inc.",Transportation,999217,114.81,30.62,0.8139042,6.19,126.49,83.35,12945366350.0,1007309000.0,1.7697402,8.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JBHT
184,476,476,ETSY,"Etsy, Inc.",Retail Trade,998537,,,,,,,,,,,
137,10,10,LOW,"Lowe’s Companies, Inc.",Retail Trade,994050,95.01,23.87,1.6413131,3.46,108.98,70.76,82909678852.0,7858000000.0,1.5653384,14.1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LOW
225,125,125,SWK,"Stanley Black & Decker, Inc.",Consumer Durables,988258,152.86,20.57,1.5775635,8.05,176.62,121.09,24496399600.0,2264600000.0,1.944325,3.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SWK
162,163,163,ALL,Allstate Corporation (The),Finance,987654,90.06,13.26,1.5278208,4.68,105.36,77.73,34759468905.0,0.0,1.2085556,1.67,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALL
441,450,450,GL,Globe Life Inc.,Finance,985982,,,,,,,,,,,
146,149,149,KMB,Kimberly-Clark Corporation,Consumer Non-Durables,981654,111.69,17.93,3.5599859,6.41,136.21,109.67,39449596000.0,4033000000.0,2.1947837,151.66,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMB
314,420,420,CDAY,Ceridian HCM Holding Inc.,Technology Services,980069,,,,,,,,,,,
280,424,424,TWTR,"Twitter, Inc.",Technology Services,979439,,,,,,,,,,,
277,213,213,WAB,Westinghouse Air Brake Technologies Corporation,Producer Manufacturing,976124,,,,,,,,,,,
366,161,161,SYK,Stryker Corporation,Health Technology,972096,148.01,23.46,1.2234008,2.68,170.0,122.01,57509096756.0,2863000000.0,4.635566,5.54,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYK
478,401,401,WAT,Waters Corporation,Health Technology,967851,191.79,26.64,0.0,0.19,220.2,145.94,16064078572.0,773932000.0,6.9824114,6.15,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WAT
209,365,365,WY,Weyerhaeuser Company,Finance,967349,33.6,34.29,3.7079954,0.77,37.89,30.9504,26070297960.0,1365000000.0,3.6396794,2.9,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WY
61,455,455,VNO,Vornado Realty Trust,Finance,966800,66.18,16.22,3.744428,4.33,111.72,66.0101,12778779911.0,0.0,7.1491003,3.63,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VNO
282,36,36,GM,General Motors Company,Consumer Durables,966409,40.75,6.58,3.5857513,6.0,46.76,31.92,61536606173.0,23541000000.0,0.5633218,1.33,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GM
375,114,114,FB,"Meta Platforms, Inc.",Technology Services,966238,171.58,27.9,0.0,5.39,195.32,132.44,523000000000.0,23624000000.0,13.241967,7.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FB
152,151,151,AIG,"American International Group, Inc. New",Finance,965390,58.28,23.22,2.1167521,-0.76,67.3,57.85,54360073164.0,0.0,1.4686536,0.75,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIG
412,43,43,GOOGL,Alphabet Inc.,Technology Services,962804,1007.71,31.48,0.0,22.27,1198.0,824.3,734000000000.0,34217000000.0,6.801692,4.7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOGL
